id,responded_at,week_number,experience_rating,reason
16810,2018-06-11 18:28:04 UTC,1,3,""
17388,2018-06-12 16:38:12 UTC,2,3,It was good i have learnt new measure in protecting my money and personal data's.  Thanks 
17505,2018-06-12 20:24:38 UTC,2,3,Nice Content !!
17807,2018-06-13 12:05:35 UTC,1,3,""
17819,2018-06-13 12:25:05 UTC,1,3,""
18277,2018-06-14 10:31:48 UTC,1,3,""
18291,2018-06-14 10:52:28 UTC,1,3,""
18439,2018-06-14 15:28:35 UTC,2,3,It has helped to reaffirm that I am aware of the problems/scams and has made me look at things in a different way.
18706,2018-06-15 07:37:25 UTC,1,3,""
18717,2018-06-15 08:11:00 UTC,1,3,"It has been interesting and I have learnt a lot, thank you."
18855,2018-06-15 13:54:50 UTC,1,3,I've learned interesting advices.
19426,2018-06-16 22:07:28 UTC,1,2,I have no adverse criticisms of the course but I rushed through it 
19753,2018-06-17 16:38:34 UTC,1,3,It's very easy to follow the course and very enterteiment.
20029,2018-06-18 07:11:42 UTC,3,3,""
20125,2018-06-18 10:16:33 UTC,2,3,""
20174,2018-06-18 11:23:03 UTC,3,3,It challenged me to think about cyber security differently
20357,2018-06-18 16:13:06 UTC,1,2,""
20548,2018-06-18 21:47:38 UTC,1,3,""
21518,2018-06-20 15:05:41 UTC,1,3,useful information in the last video.
21989,2018-06-21 12:39:56 UTC,1,3,Thought provoking conversations and enjoyable learning at the same time.
22288,2018-06-22 00:03:57 UTC,2,3,""
22365,2018-06-22 06:20:57 UTC,3,3,""
22675,2018-06-22 17:29:15 UTC,2,3,Fantastic 
23644,2018-06-24 19:34:46 UTC,1,3,I wasn't interested in this course - until I tried it.  The material was well presented and staff answered queries without being patronising.  Well done!
23797,2018-06-25 02:43:25 UTC,3,3,""
23825,2018-06-25 04:18:30 UTC,3,3,""
24003,2018-06-25 12:01:11 UTC,1,3,""
24047,2018-06-25 13:16:05 UTC,1,3,""
24238,2018-06-25 18:27:14 UTC,2,3,""
24347,2018-06-25 21:50:01 UTC,3,3,""
24350,2018-06-25 21:56:03 UTC,3,2,""
24396,2018-06-25 23:32:56 UTC,3,3,"It has been like learning a new language.
Nice reading comments.
Thank you all for the course"
24399,2018-06-25 23:37:02 UTC,3,3,""
24777,2018-06-26 15:00:50 UTC,3,3,""
24804,2018-06-26 15:51:58 UTC,3,3,""
25215,2018-06-27 10:30:28 UTC,1,3,""
25379,2018-06-27 15:35:27 UTC,1,3,""
25632,2018-06-28 07:58:54 UTC,3,3,Very interesting and informative.
25641,2018-06-28 08:37:17 UTC,3,3,Interesting accessible course
25744,2018-06-28 11:42:05 UTC,2,3,""
