learner_id,quiz_question,question_type,week_number,step_number,question_number,response,cloze_response,submitted_at,correct
77454a73-6b8b-46a2-8dee-35f36b6c4fc1,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-07-31 15:44:17 UTC,true
62449cd5-916b-46a6-9710-441b68d2199f,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 02:16:21 UTC,false
62449cd5-916b-46a6-9710-441b68d2199f,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 02:16:29 UTC,false
62449cd5-916b-46a6-9710-441b68d2199f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 02:17:00 UTC,true
0403150a-619a-4c0e-9aac-6c4103c5e321,1.8.1,MultipleChoice,1,8,1,3,,2018-09-10 04:24:58 UTC,false
a98b7332-1a57-4004-ac6c-4383f2ac34e1,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 04:47:46 UTC,false
a98b7332-1a57-4004-ac6c-4383f2ac34e1,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 04:47:51 UTC,true
36a19c6d-2802-44f5-9d2f-d453c15609ca,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 05:56:46 UTC,true
210e7ba4-71da-4ef1-b3a5-051852dda414,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 06:57:24 UTC,true
4409e162-9ce5-404d-b72d-5bff3ee30469,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 07:05:46 UTC,true
0064d8a9-4dac-430b-b5c6-8d92bb6ec674,1.8.1,MultipleChoice,1,8,1,3,,2018-09-10 07:23:08 UTC,false
0064d8a9-4dac-430b-b5c6-8d92bb6ec674,1.8.1,MultipleChoice,1,8,1,1,,2018-09-10 07:23:24 UTC,false
0064d8a9-4dac-430b-b5c6-8d92bb6ec674,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 07:23:29 UTC,false
0064d8a9-4dac-430b-b5c6-8d92bb6ec674,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 07:23:38 UTC,true
8c5dc5d7-e5b1-469f-b2b2-877ea43fa1ac,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 07:45:47 UTC,false
8c5dc5d7-e5b1-469f-b2b2-877ea43fa1ac,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 07:46:02 UTC,false
8c5dc5d7-e5b1-469f-b2b2-877ea43fa1ac,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 07:46:10 UTC,true
b57a524a-ecf1-4f42-9b59-37c571dbe936,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 08:25:30 UTC,true
61acd976-c858-41b7-8439-8922d2aaf839,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 08:34:56 UTC,false
61acd976-c858-41b7-8439-8922d2aaf839,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 08:35:10 UTC,false
61acd976-c858-41b7-8439-8922d2aaf839,1.8.1,MultipleChoice,1,8,1,"2,3",,2018-09-10 08:35:13 UTC,false
61acd976-c858-41b7-8439-8922d2aaf839,1.8.1,MultipleChoice,1,8,1,3,,2018-09-10 08:35:16 UTC,false
61acd976-c858-41b7-8439-8922d2aaf839,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 08:35:18 UTC,false
61acd976-c858-41b7-8439-8922d2aaf839,1.8.1,MultipleChoice,1,8,1,1,,2018-09-10 08:35:22 UTC,false
f7c158af-163a-4092-9bfd-fb16b310fd0f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 08:45:12 UTC,true
a54575a1-82ae-4b7c-b0ee-9949c51b677f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 08:48:30 UTC,true
e693a7ed-53d0-4da4-9967-b66d50d5c13f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 09:40:22 UTC,true
e6b151db-2758-491d-989c-3d73e6e3db18,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 10:18:24 UTC,true
7bb4435c-34ac-4b9f-8a37-06c8dab0f14b,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 10:35:02 UTC,true
99b6556f-5d02-42f8-8379-f4f0f6901619,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 10:37:40 UTC,true
78255f92-2ac2-47f6-8bd3-9a7617e79d6e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 10:40:03 UTC,true
971587b3-4878-4d61-91b6-35a06b4b1e60,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 11:28:00 UTC,true
8fba9d62-c572-477e-a3c0-00138597a9dd,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 11:30:09 UTC,true
c590ab1c-5177-4e4f-9cd7-d312ef01ea5c,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 11:33:05 UTC,true
90823dfa-7cac-4709-b0fc-56da2b325730,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 11:45:35 UTC,true
e2c01268-e454-4d64-9748-c6662c71f596,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 11:47:43 UTC,true
c53396a5-f72c-4dec-9810-cb7dd7608e1a,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 13:34:41 UTC,true
5b5e65ce-fef6-42b3-be00-9f2b5f84cd27,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 13:40:43 UTC,true
053c5758-8ac3-4ab1-a2aa-aca5e3755b8e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 14:49:13 UTC,true
30c0d6a0-fd99-4432-961a-c034235eba9c,1.8.1,MultipleChoice,1,8,1,1,,2018-09-10 15:08:56 UTC,false
30c0d6a0-fd99-4432-961a-c034235eba9c,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 15:09:12 UTC,false
30c0d6a0-fd99-4432-961a-c034235eba9c,1.8.1,MultipleChoice,1,8,1,3,,2018-09-10 15:09:16 UTC,false
30c0d6a0-fd99-4432-961a-c034235eba9c,1.8.1,MultipleChoice,1,8,1,"1,3",,2018-09-10 15:09:27 UTC,false
30c0d6a0-fd99-4432-961a-c034235eba9c,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 15:09:29 UTC,true
6fc2acb1-d9e7-4a87-9faa-8d62fdcd46dd,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 15:43:54 UTC,true
d0e98764-8fa1-40cd-8b6f-72ab3fac1987,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 15:48:05 UTC,true
07259579-4626-4bf4-a003-a7dddaa9287a,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 16:39:18 UTC,true
42116084-c83f-46b8-8910-145ec6ee4b38,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 16:58:45 UTC,false
42116084-c83f-46b8-8910-145ec6ee4b38,1.8.1,MultipleChoice,1,8,1,3,,2018-09-10 16:58:53 UTC,false
42116084-c83f-46b8-8910-145ec6ee4b38,1.8.1,MultipleChoice,1,8,1,1,,2018-09-10 16:58:58 UTC,false
db78878f-24a8-4121-ae2f-05c2201963ad,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 17:16:17 UTC,true
eab08498-f386-41bb-a593-877ed0fe8e23,1.8.1,MultipleChoice,1,8,1,"2,3",,2018-09-10 17:22:44 UTC,false
eab08498-f386-41bb-a593-877ed0fe8e23,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 17:22:53 UTC,true
9a70ce48-7bca-4c6f-b1e0-383ebd406f2c,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 18:36:54 UTC,true
bb59b178-ea61-4e76-b130-5226564778fa,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 18:48:10 UTC,true
658a2c70-a868-4027-8a6f-ea9b393a3b81,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 18:53:01 UTC,true
b4eebbbd-8521-455b-8437-1ba5ff0161ae,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 19:13:26 UTC,true
abd61055-021c-4d6e-acf7-feec78a9b22f,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 20:14:51 UTC,false
abd61055-021c-4d6e-acf7-feec78a9b22f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 20:15:06 UTC,true
49451e66-90c6-4f9f-af14-7ffd36ae4702,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 20:20:22 UTC,true
6a8a964b-7c72-42ae-b87c-088278c21442,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 20:34:40 UTC,true
5d70bebc-560f-456c-827a-2ee21d8a249b,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 20:36:53 UTC,true
1c2c956f-9071-4751-ab41-d304869e8645,1.8.1,MultipleChoice,1,8,1,"1,3",,2018-09-10 22:21:41 UTC,false
1c2c956f-9071-4751-ab41-d304869e8645,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 22:21:45 UTC,true
f0121c4e-e0a6-4013-b286-01124c384035,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 22:31:51 UTC,true
370a4cee-4aeb-4b26-b29e-7d3394cd6eca,1.8.1,MultipleChoice,1,8,1,2,,2018-09-10 22:33:01 UTC,false
370a4cee-4aeb-4b26-b29e-7d3394cd6eca,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-10 22:33:07 UTC,false
370a4cee-4aeb-4b26-b29e-7d3394cd6eca,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-10 22:33:09 UTC,true
0636f5ca-0553-4e18-ad69-97d04bc1cb1b,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 01:34:25 UTC,true
b5bb8ac4-90be-4822-82c4-62b7c74ca1da,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-11 03:00:42 UTC,false
b5bb8ac4-90be-4822-82c4-62b7c74ca1da,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 03:01:06 UTC,true
b0ee0c56-9a5c-49a8-bff0-d13dcd3a1828,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-11 05:08:28 UTC,false
b0ee0c56-9a5c-49a8-bff0-d13dcd3a1828,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 05:08:33 UTC,true
8c4964f8-a636-48dd-a26f-9b0e32cf088b,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-11 06:10:02 UTC,false
8c4964f8-a636-48dd-a26f-9b0e32cf088b,1.8.1,MultipleChoice,1,8,1,"1,3",,2018-09-11 06:10:07 UTC,false
8c4964f8-a636-48dd-a26f-9b0e32cf088b,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 06:10:11 UTC,true
00ac823c-15b9-4240-a7f9-a4ece1687a2f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 06:47:40 UTC,true
ca107d42-2950-462d-859f-1cdbe8cff074,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 06:47:51 UTC,true
c3fc183b-0039-4cbb-a5d3-55f780d458e8,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 06:48:20 UTC,true
5139ac1d-cd88-42e7-9df4-32dd8699cbc3,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 06:55:11 UTC,true
8c3ba630-ab72-4396-8354-8bcda135d72f,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 07:05:37 UTC,true
bb5fa5b2-6306-41de-b84a-00910ebe94c9,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 07:21:49 UTC,true
c56c48bd-fa62-4b32-afa0-bbfe9d70c470,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 08:12:59 UTC,true
e52f23e1-af1e-411a-9848-a3fed509bae7,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 08:40:29 UTC,true
55d21178-02cb-451a-8c4b-65a3b5dee7ea,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-11 09:36:44 UTC,false
55d21178-02cb-451a-8c4b-65a3b5dee7ea,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 09:37:02 UTC,true
51c61184-822d-437a-b56e-a52a68da6e6e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 09:52:35 UTC,true
f93cddb7-c270-442a-aa27-50e51d0ad0d1,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 10:09:21 UTC,true
61dc2084-fe44-4e95-a38f-6fb506468cdf,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 10:19:29 UTC,true
63086952-fb0f-4dcf-b738-4a7a55c9cd62,1.8.1,MultipleChoice,1,8,1,3,,2018-09-11 11:07:12 UTC,false
63086952-fb0f-4dcf-b738-4a7a55c9cd62,1.8.1,MultipleChoice,1,8,1,"2,3",,2018-09-11 11:07:21 UTC,false
63086952-fb0f-4dcf-b738-4a7a55c9cd62,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 11:07:24 UTC,true
952b2e8f-f3bd-42f2-8716-95ae40ef8470,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 11:31:23 UTC,true
04cf9994-8144-42e5-84e6-0712860a4876,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-11 11:49:07 UTC,false
04cf9994-8144-42e5-84e6-0712860a4876,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 11:49:16 UTC,true
5289f694-207f-40fe-b485-06315c6c438e,1.8.1,MultipleChoice,1,8,1,2,,2018-09-11 12:11:06 UTC,false
5289f694-207f-40fe-b485-06315c6c438e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 12:12:00 UTC,true
6458e1e0-d266-4aab-818b-f7eb1e00401b,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 12:31:00 UTC,true
21a82eec-e56b-4f10-a704-96e800dbf351,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 12:42:04 UTC,true
0cf5e1e7-d8f2-46d6-a685-9474778ccf79,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 12:51:21 UTC,true
3c89a329-7699-4ab2-af4a-a0b25414ad2e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 13:18:21 UTC,true
c5a3c2cd-aee9-4d96-835b-f64116c56795,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 13:29:59 UTC,true
ee0c2de7-7b4d-4778-a697-aff45298e164,1.8.1,MultipleChoice,1,8,1,3,,2018-09-11 13:34:30 UTC,false
ee0c2de7-7b4d-4778-a697-aff45298e164,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 13:34:48 UTC,true
d9d1b983-92a0-47bc-af33-0cd4bf37179e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 13:36:02 UTC,true
4d59d874-4b9f-4cc4-b47a-d9ba154d7753,1.8.1,MultipleChoice,1,8,1,2,,2018-09-11 14:20:17 UTC,false
4d59d874-4b9f-4cc4-b47a-d9ba154d7753,1.8.1,MultipleChoice,1,8,1,"2,3",,2018-09-11 14:20:54 UTC,false
4d59d874-4b9f-4cc4-b47a-d9ba154d7753,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 14:21:17 UTC,true
f94614fc-d460-4f51-bd3c-9065eabc3bf6,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 14:40:38 UTC,true
3b07e167-5398-4547-a639-b1cf4655d1dc,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 15:39:37 UTC,true
c66a8b8f-3ff6-4eea-9c29-46eae8641a24,1.8.1,MultipleChoice,1,8,1,3,,2018-09-11 15:48:11 UTC,false
80a02269-004c-4e63-ba4c-060e9e1565c8,1.8.1,MultipleChoice,1,8,1,"1,2",,2018-09-11 16:44:50 UTC,false
80a02269-004c-4e63-ba4c-060e9e1565c8,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 16:44:57 UTC,true
f85c1e19-27b7-4bdc-a01d-755284cec332,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 17:13:04 UTC,true
05472334-838a-4806-b7fa-fbfe5b260a1e,1.8.1,MultipleChoice,1,8,1,3,,2018-09-11 18:06:02 UTC,false
05472334-838a-4806-b7fa-fbfe5b260a1e,1.8.1,MultipleChoice,1,8,1,"1,3",,2018-09-11 18:16:53 UTC,false
05472334-838a-4806-b7fa-fbfe5b260a1e,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 18:17:01 UTC,true
59ebee5b-63e6-4553-a508-7f860cadc23d,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 19:04:47 UTC,true
ffa0781f-7a10-48a2-aa7c-122062213976,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 19:12:48 UTC,true
3d5db603-d724-4c6c-9d3c-ea602cb337e0,1.8.1,MultipleChoice,1,8,1,"1,2,3",,2018-09-11 19:59:02 UTC,true
